keyNumber,keyPosition,helmholtzName,scientificName,letterName,hzFrequency
1,0,A͵͵ sub-contra-octave,A0 Double Pedal A,a/0,27.5
2,0.5,A♯͵͵/B♭͵͵,A♯0/B♭0,"a#/0,bb/0",29.1352
3,1,B͵͵,B0,b/0,30.8677
4,2,C͵ contra-octave,C1 Pedal C,c/1,32.7032
5,2.5,C♯͵/D♭͵,C♯1/D♭1,"c#/1,db/1",34.6478
6,3,D͵,D1,d/1,36.7081
7,3.5,D♯͵/E♭͵,D♯1/E♭1,"d#/1,eb/1",38.8909
8,4,E͵,E1,e/1,41.2034
9,5,F͵,F1,f/1,43.6535
10,5.5,F♯͵/G♭͵,F♯1/G♭1,"f#/1,gb/1",46.2493
11,6,G͵,G1,g/1,48.9994
12,6.5,G♯͵/A♭͵,G♯1/A♭1,"g#/1,ab/1",51.9131
13,7,A͵,A1,a/1,55
14,7.5,A♯͵/B♭͵,A♯1/B♭1,"a#/1,bb/1",58.2705
15,8,B͵,B1,b/1,61.7354
16,9,C great octave,C2 Deep C,c/2,65.4064
17,9.5,C♯/D♭,C♯2/D♭2,"c#/2,db/2",69.2957
18,10,D,D2,d/2,73.4162
19,10.5,D♯/E♭,D♯2/E♭2,"d#/2,eb/2",77.7817
20,11,E,E2,e/2,82.4069
21,12,F,F2,f/2,87.3071
22,12.5,F♯/G♭,F♯2/G♭2,"f#/2,gb/2",92.4986
23,13,G,G2,g/2,97.9989
24,13.5,G♯/A♭,G♯2/A♭2,"g#/2,ab/2",103.826
25,14,A,A2,a/2,110
26,14.5,A♯/B♭,A♯2/B♭2,"a#/2,bb/2",116.541
27,15,B,B2,b/2,123.471
28,16,c small octave,C3,c/3,130.813
29,16.5,c♯/d♭,C♯3/D♭3,"c#/3,db/3",138.591
30,17,d,D3,d/3,146.832
31,17.5,d♯/e♭,D♯3/E♭3,"d#/3,eb/3",155.563
32,18,e,E3,e/3,164.814
33,19,f,F3,f/3,174.614
34,19.5,f♯/g♭,F♯3/G♭3,"f#/3,gb/3",184.997
35,20,g,G3,g/3,195.998
36,20.5,g♯/a♭,G♯3/A♭3,"g#/3,ab/3",207.652
37,21,a,A3,a/3,220
38,21.5,a♯/b♭,A♯3/B♭3,"a#/3,bb/3",233.082
39,22,b,B3,b/3,246.942
40,23,c′ 1-line octave,C4 Middle C,c/4,261.626
41,23.5,c♯′/d♭′,C♯4/D♭4,"c#/4,db/4",277.183
42,24,d′,D4,d/4,293.665
43,24.5,d♯′/e♭′,D♯4/E♭4,"d#/4,eb/4",311.127
44,25,e′,E4,e/4,329.628
45,26,f′,F4,f/4,349.228
46,26.5,f♯′/g♭′,F♯4/G♭4,"f#/4,gb/4",369.994
47,27,g′,G4,g/4,391.995
48,27.5,g♯′/a♭′,G♯4/A♭4,"g#/4,ab/4",415.305
49,28,a′,A4 A440,a/4,440
50,28.5,a♯′/b♭′,A♯4/B♭4,"a#/4,bb/4",466.164
51,29,b′,B4,b/4,493.883
52,30,c′′ 2-line octave,C5 Tenor C,c/5,523.251
53,30.5,c♯′′/d♭′′,C♯5/D♭5,"c#/5,db/5",554.365
54,31,d′′,D5,d/5,587.33
55,31.5,d♯′′/e♭′′,D♯5/E♭5,"d#/5,eb/5",622.254
56,32,e′′,E5,e/5,659.255
57,33,f′′,F5,f/5,698.456
58,33.5,f♯′′/g♭′′,F♯5/G♭5,"f#/5,gb/5",739.989
59,34,g′′,G5,g/5,783.991
60,34.5,g♯′′/a♭′′,G♯5/A♭5,"g#/5,ab/5",830.609
61,35,a′′,A5,a/5,880
62,35.5,a♯′′/b♭′′,A♯5/B♭5,"a#/5,bb/5",932.328
63,36,b′′,B5,b/5,987.767
64,37,c′′′ 3-line octave,C6 Soprano C (High C),c/6,1046.5
65,37.5,c♯′′′/d♭′′′,C♯6/D♭6,"c#/6,db/6",1108.73
66,38,d′′′,D6,d/6,1174.66
67,38.5,d♯′′′/e♭′′′,D♯6/E♭6,"d#/6,eb/6",1244.51
68,39,e′′′,E6,e/6,1318.51
69,40,f′′′,F6,f/6,1396.91
70,40.5,f♯′′′/g♭′′′,F♯6/G♭6,"f#/6,gb/6",1479.98
71,41,g′′′,G6,g/6,1567.98
72,41.5,g♯′′′/a♭′′′,G♯6/A♭6,"g#/6,ab/6",1661.22
73,42,a′′′,A6,a/6,1760
74,42.5,a♯′′′/b♭′′′,A♯6/B♭6,"a#/6,bb/6",1864.66
75,43,b′′′,B6,b/6,1975.53
76,44,c′′′′ 4-line octave,C7 Double high C,c/7,2093
77,44.5,c♯′′′′/d♭′′′′,C♯7/D♭7,"c#/7,db/7",2217.46
78,45,d′′′′,D7,d/7,2349.32
79,45.5,d♯′′′′/e♭′′′′,D♯7/E♭7,"d#/7,eb/7",2489.02
80,46,e′′′′,E7,e/7,2637.02
81,47,f′′′′,F7,f/7,2793.83
82,47.5,f♯′′′′/g♭′′′′,F♯7/G♭7,"f#/7,gb/7",2959.96
83,48,g′′′′,G7,g/7,3135.96
84,48.5,g♯′′′′/a♭′′′′,G♯7/A♭7,"g#/7,ab/7",3322.44
85,49,a′′′′,A7,a/7,3520
86,49.5,a♯′′′′/b♭′′′′,A♯7/B♭7,"a#/7,bb/7",3729.31
87,50,b′′′′,B7,b/7,3951.07
88,51,c′′′′′ 5-line octave,C8 Eighth octave,c/8,4186.01